Name           :	Sample1	
User           :		
Date           :	2023-xx-xx	

Probe1         :		
Perimeter      : 		

Probe2         :		
Perimeter      : 		

Trough         :		
Width          :		
Area           :		
Symmetric comp :		

Subphase       :		
Surface tension:		
pH             :		
Temperature    :		

Addition       :		
Concentration  :		
Unit           :	         	

Substance1     :		
MW             :		
Concentration  :		
Unit           :	           	
Volume         :		

Substance2     :		
MW             : 		
Concentration  : 		
Unit           :	         	
Volume         : 		

Substrate      :		
Height         : 		
Shape          : 	       	
Width          :		
Thickness      :		


t[s]	Bpos	Bspd	A[cm²]	Mma[Å²]	P1[mN/m]	P2[mN/m]	T[°C]	SP[V]	pH	AD[V]
181,34	30,005	10,000	194,24	1851,76	1,3727	0,0000	24,91	-4,879	0,63	0,000
182,45	30,187	10,000	193,97	1849,16	1,3700	0,0000	24,91	-4,879	0,63	0,000
183,46	30,355	10,000	193,72	1846,76	1,3726	0,0000	24,91	-4,879	0,63	0,000
184,58	30,539	10,000	193,44	1844,14	1,3611	0,0000	24,91	-4,879	0,63	0,000
185,70	30,722	10,000	193,17	1841,51	1,3761	0,0000	24,91	-4,879	0,63	0,000
186,80	30,904	10,000	192,89	1838,91	1,3813	0,0000	24,91	-4,879	0,63	0,000
187,93	31,104	10,000	192,59	1836,05	1,3877	0,0000	24,91	-4,879	0,63	0,000
189,05	31,287	10,000	192,32	1833,43	1,3903	0,0000	24,91	-4,879	0,63	0,000
190,06	31,454	10,000	192,07	1831,05	1,3988	0,0000	24,91	-4,879	0,63	0,000
191,17	31,637	10,000	191,79	1828,43	1,3983	0,0000	24,91	-4,879	0,63	0,000
192,26	31,821	10,000	191,52	1825,80	1,4064	0,0000	24,91	-4,879	0,63	0,000
193,39	32,004	10,000	191,24	1823,18	1,4062	0,0000	24,91	-4,879	0,63	0,000
194,52	32,187	10,000	190,97	1820,56	1,4088	0,0000	24,91	-4,879	0,63	0,000
195,61	32,372	10,000	190,69	1817,92	1,4125	0,0000	24,91	-4,879	0,63	0,000
196,76	32,555	10,000	190,42	1815,30	1,4219	0,0000	24,91	-4,879	0,63	0,000
197,85	32,738	10,000	190,14	1812,68	1,4302	0,0000	24,91	-4,879	0,63	0,000
198,85	32,905	10,000	189,89	1810,29	1,4338	0,0000	24,91	-4,879	0,63	0,000
199,98	33,087	10,000	189,62	1807,69	1,4338	0,0000	24,91	-4,879	0,63	0,000
201,07	33,272	10,000	189,34	1805,05	1,4355	0,0000	24,91	-4,879	0,63	0,000
202,21	33,472	10,000	189,04	1802,19	1,4411	0,0000	24,91	-4,879	0,63	0,000
203,35	33,655	10,000	188,77	1799,57	1,4429	0,0000	24,91	-4,879	0,63	0,000
204,47	33,838	10,000	188,49	1796,95	1,4455	0,0000	24,91	-4,879	0,63	0,000
205,48	34,005	10,000	188,24	1794,57	1,4523	0,0000	24,91	-4,879	0,63	0,000
206,60	34,188	10,000	187,97	1791,94	1,4519	0,0000	24,91	-4,879	0,63	0,000
207,73	34,387	10,000	187,67	1789,10	1,4658	0,0000	24,91	-4,879	0,63	0,000
208,87	34,570	10,000	187,39	1786,48	1,4714	0,0000	24,91	-4,879	0,63	0,000
210,00	34,755	10,000	187,12	1783,84	1,4745	0,0000	24,91	-4,879	0,63	0,000
211,12	34,938	10,000	186,84	1781,22	1,4800	0,0000	24,91	-4,879	0,63	0,000
212,24	35,120	10,000	186,57	1778,62	1,4760	0,0000	24,91	-4,879	0,63	0,000
213,37	35,322	10,000	186,27	1775,74	1,4767	0,0000	24,91	-4,879	0,63	0,000
214,51	35,505	10,000	185,99	1773,12	1,4807	0,0000	24,91	-4,879	0,63	0,000
215,62	35,687	10,000	185,72	1770,51	1,4862	0,0000	24,91	-4,879	0,63	0,000
216,76	35,872	10,000	185,44	1767,87	1,4842	0,0000	24,91	-4,879	0,63	0,000
217,87	36,055	10,000	185,17	1765,25	1,4955	0,0000	24,91	-4,879	0,63	0,000
218,98	36,254	10,000	184,87	1762,41	1,4969	0,0000	24,91	-4,879	0,63	0,000
219,98	36,405	10,000	184,64	1760,25	1,5054	0,0000	24,91	-4,879	0,63	0,000
221,10	36,604	10,000	184,34	1757,41	1,5072	0,0000	24,91	-4,879	0,63	0,000
222,23	36,787	10,000	184,07	1754,78	1,5089	0,0000	24,91	-4,879	0,63	0,000
223,36	36,972	10,000	183,79	1752,14	1,5118	0,0000	24,91	-4,879	0,63	0,000
224,50	37,155	10,000	183,52	1749,52	1,5123	0,0000	24,91	-4,879	0,63	0,000
225,59	37,338	10,000	183,24	1746,90	1,5162	0,0000	24,91	-4,879	0,63	0,000
226,69	37,522	10,000	182,97	1744,28	1,5172	0,0000	24,91	-4,879	0,63	0,000
227,83	37,722	10,000	182,67	1741,42	1,5312	0,0000	24,91	-4,879	0,63	0,000
228,96	37,904	10,000	182,39	1738,82	1,5337	0,0000	24,91	-4,879	0,63	0,000
230,06	38,087	10,000	182,12	1736,19	1,5403	0,0000	24,91	-4,879	0,63	0,000
231,19	38,270	10,000	181,84	1733,57	1,5394	0,0000	24,91	-4,879	0,63	0,000
232,32	38,455	10,000	181,57	1730,93	1,5382	0,0000	24,91	-4,879	0,63	0,000
233,45	38,638	10,000	181,29	1728,31	1,5357	0,0000	24,91	-4,879	0,63	0,000
234,56	38,838	10,000	180,99	1725,45	1,5408	0,0000	24,91	-4,879	0,63	0,000
235,68	39,022	10,000	180,72	1722,83	1,5552	0,0000	24,91	-4,879	0,63	0,000
236,81	39,205	10,000	180,44	1720,21	1,5572	0,0000	24,91	-4,879	0,63	0,000
237,96	39,388	10,000	180,17	1717,59	1,5681	0,0000	24,91	-4,879	0,63	0,000
239,09	39,588	10,000	179,87	1714,73	1,5707	0,0000	24,91	-4,879	0,63	0,000
240,21	39,771	10,000	179,59	1712,11	1,5788	0,0000	24,91	-4,879	0,63	0,000
241,35	39,955	10,000	179,32	1709,48	1,5900	0,0000	24,91	-4,879	0,63	0,000
242,45	40,137	10,000	179,04	1706,88	1,6004	0,0000	24,91	-4,879	0,63	0,000
243,57	40,321	10,000	178,77	1704,24	1,6091	0,0000	24,91	-4,879	0,63	0,000
244,58	40,487	10,000	178,52	1701,88	1,6231	0,0000	24,91	-4,879	0,63	0,000
245,68	40,670	10,000	178,24	1699,25	1,6157	0,0000	24,91	-4,879	0,63	0,000
246,80	40,855	10,000	177,97	1696,61	1,6198	0,0000	24,91	-4,879	0,63	0,000
247,94	41,055	10,000	177,67	1693,76	1,6199	0,0000	24,91	-4,879	0,63	0,000
249,07	41,237	10,000	177,39	1691,15	1,6250	0,0000	24,91	-4,879	0,63	0,000
250,18	41,420	10,000	177,12	1688,53	1,6346	0,0000	24,91	-4,879	0,63	0,000
251,32	41,605	10,000	176,84	1685,89	1,6439	0,0000	24,91	-4,879	0,63	0,000
252,44	41,803	10,000	176,54	1683,05	1,6461	0,0000	24,91	-4,879	0,63	0,000
253,56	41,987	10,000	176,27	1680,43	1,6497	0,0000	24,91	-4,879	0,63	0,000
254,56	42,153	10,000	176,02	1678,04	1,6582	0,0000	24,91	-4,879	0,63	0,000
255,68	42,338	10,000	175,74	1675,40	1,6587	0,0000	24,91	-4,879	0,63	0,000
256,82	42,521	10,000	175,47	1672,78	1,6562	0,0000	24,91	-4,879	0,63	0,000
257,92	42,703	10,000	175,19	1670,18	1,6494	0,0000	24,91	-4,879	0,63	0,000
258,92	42,870	10,000	174,94	1667,80	1,6487	0,0000	24,91	-4,879	0,63	0,000
260,02	43,055	10,000	174,67	1665,16	1,6479	0,0000	24,91	-4,879	0,63	0,000
261,16	43,238	10,000	174,39	1662,53	1,6519	0,0000	24,91	-4,879	0,63	0,000
262,27	43,421	10,000	174,12	1659,91	1,6547	0,0000	24,91	-4,879	0,63	0,000
263,27	43,588	10,000	173,87	1657,53	1,6661	0,0000	24,91	-4,879	0,63	0,000
264,37	43,771	10,000	173,59	1654,91	1,6686	0,0000	24,91	-4,879	0,63	0,000
265,52	43,970	10,000	173,29	1652,07	1,6719	0,0000	24,91	-4,879	0,63	0,000
266,64	44,155	10,000	173,02	1649,43	1,6920	0,0000	24,91	-4,879	0,63	0,000
267,76	44,337	10,000	172,74	1646,82	1,6923	0,0000	24,91	-4,879	0,63	0,000
268,85	44,521	10,000	172,47	1644,18	1,7186	0,0000	24,91	-4,879	0,63	0,000
270,01	44,705	10,000	172,19	1641,56	1,7037	0,0000	24,91	-4,879	0,63	0,000
271,11	44,887	10,000	171,92	1638,96	1,7332	0,0000	24,91	-4,879	0,63	0,000
272,12	45,055	10,000	171,67	1636,56	1,7421	0,0000	24,91	-4,879	0,63	0,000
273,24	45,253	10,000	171,37	1633,72	1,7464	0,0000	24,91	-4,879	0,63	0,000
274,35	45,438	10,000	171,09	1631,08	1,7421	0,0000	24,91	-4,879	0,63	0,000
275,48	45,621	10,000	170,82	1628,45	1,7466	0,0000	24,91	-4,879	0,63	0,000
276,60	45,805	10,000	170,54	1625,83	1,7441	0,0000	24,91	-4,879	0,63	0,000
277,60	45,970	10,000	170,30	1623,47	1,7517	0,0000	24,91	-4,879	0,63	0,000
278,73	46,155	10,000	170,02	1620,83	1,7603	0,0000	24,91	-4,879	0,63	0,000
279,84	46,338	10,000	169,74	1618,21	1,7739	0,0000	24,91	-4,879	0,63	0,000
280,96	46,521	10,000	169,47	1615,59	1,7819	0,0000	24,91	-4,879	0,63	0,000
282,10	46,721	10,000	169,17	1612,73	1,7873	0,0000	24,91	-4,879	0,63	0,000
283,22	46,905	10,000	168,89	1610,10	1,7824	0,0000	24,91	-4,879	0,63	0,000
284,35	47,088	10,000	168,62	1607,48	1,7745	0,0000	24,91	-4,879	0,63	0,000
285,35	47,255	10,000	168,37	1605,10	1,7947	0,0000	24,91	-4,879	0,63	0,000
286,48	47,438	10,000	168,09	1602,48	1,7980	0,0000	24,91	-4,879	0,63	0,000
287,59	47,620	10,000	167,82	1599,87	1,8039	0,0000	24,91	-4,879	0,63	0,000
288,73	47,821	10,000	167,52	1597,00	1,8184	0,0000	24,91	-4,879	0,63	0,000
289,84	48,003	10,000	167,25	1594,39	1,8207	0,0000	24,91	-4,879	0,63	0,000
