Name           :	Sample4	
User           :		
Date           :	2023-xx-xx	

Probe1         :		
Perimeter      : 		

Probe2         :		
Perimeter      : 		

Trough         :		
Width          :		
Area           :		
Symmetric comp :		

Subphase       :		
Surface tension:		
pH             :		
Temperature    :		

Addition       :		
Concentration  :		
Unit           :	         	

Substance1     :		
MW             :		
Concentration  :		
Unit           :	           	
Volume         :		

Substance2     :		
MW             : 		
Concentration  : 		
Unit           :	         	
Volume         : 		

Substrate      :		
Height         : 		
Shape          : 	       	
Width          :		
Thickness      :		


t[s]	Bpos	Bspd	A[cm²]	Mma[Å²]	P1[mN/m]	P2[mN/m]	T[°C]	SP[V]	pH	AD[V]
155,20	25,672	10,000	200,74	1304,05	8,1330	0,0000	24,72	-4,879	0,62	0,000
156,32	25,854	10,000	200,47	1302,27	8,1436	0,0000	24,72	-4,879	0,62	0,000
157,45	26,054	10,000	200,17	1300,33	8,1486	0,0000	24,72	-4,879	0,62	0,000
158,57	26,237	10,000	199,89	1298,54	8,1587	0,0000	24,72	-4,879	0,62	0,000
159,70	26,421	10,000	199,62	1296,75	8,1704	0,0000	24,72	-4,879	0,62	0,000
160,82	26,604	10,000	199,34	1294,97	8,1825	0,0000	24,72	-4,879	0,62	0,000
161,95	26,787	10,000	199,07	1293,18	8,1938	0,0000	24,72	-4,879	0,62	0,000
163,08	26,987	10,000	198,77	1291,23	8,2003	0,0000	24,72	-4,879	0,62	0,000
164,20	27,171	10,000	198,49	1289,44	8,2105	0,0000	24,72	-4,879	0,62	0,000
165,33	27,355	10,000	198,22	1287,65	8,2220	0,0000	24,72	-4,879	0,62	0,000
166,46	27,537	10,000	197,94	1285,87	8,2304	0,0000	24,72	-4,879	0,62	0,000
167,59	27,739	10,000	197,64	1283,91	8,2421	0,0000	24,72	-4,879	0,62	0,000
168,72	27,921	10,000	197,37	1282,14	8,2521	0,0000	24,72	-4,879	0,62	0,000
169,84	28,104	10,000	197,09	1280,35	8,2623	0,0000	24,72	-4,879	0,62	0,000
170,97	28,289	10,000	196,82	1278,55	8,2763	0,0000	24,72	-4,879	0,62	0,000
172,09	28,472	10,000	196,54	1276,77	8,2880	0,0000	24,72	-4,879	0,62	0,000
173,22	28,672	10,000	196,24	1274,82	8,2974	0,0000	24,72	-4,879	0,62	0,000
174,34	28,855	10,000	195,97	1273,03	8,3098	0,0000	24,72	-4,879	0,62	0,000
175,47	29,039	10,000	195,69	1271,24	8,3160	0,0000	24,72	-4,879	0,62	0,000
176,58	29,222	10,000	195,42	1269,46	8,3321	0,0000	24,72	-4,879	0,62	0,000
177,58	29,389	10,000	195,17	1267,83	8,3443	0,0000	24,72	-4,879	0,62	0,000
178,71	29,572	10,000	194,89	1266,05	8,3617	0,0000	24,72	-4,879	0,62	0,000
179,83	29,755	10,000	194,62	1264,26	8,3725	0,0000	24,72	-4,879	0,62	0,000
180,96	29,954	10,000	194,32	1262,32	8,3843	0,0000	24,72	-4,879	0,62	0,000
182,09	30,137	10,000	194,04	1260,54	8,3951	0,0000	24,72	-4,879	0,62	0,000
183,21	30,322	10,000	193,77	1258,74	8,4057	0,0000	24,72	-4,879	0,62	0,000
184,34	30,504	10,000	193,49	1256,97	8,4235	0,0000	24,72	-4,879	0,62	0,000
185,46	30,689	10,000	193,22	1255,17	8,4356	0,0000	24,72	-4,879	0,62	0,000
186,59	30,887	10,000	192,92	1253,23	8,4371	0,0000	24,72	-4,879	0,62	0,000
187,71	31,071	10,000	192,64	1251,44	8,4474	0,0000	24,72	-4,879	0,62	0,000
188,84	31,255	10,000	192,37	1249,64	8,4663	0,0000	24,72	-4,879	0,62	0,000
189,97	31,437	10,000	192,09	1247,87	8,4734	0,0000	24,72	-4,879	0,62	0,000
191,09	31,622	10,000	191,82	1246,07	8,4796	0,0000	24,72	-4,879	0,62	0,000
192,21	31,822	10,000	191,52	1244,12	8,4893	0,0000	24,72	-4,879	0,62	0,000
193,34	32,004	10,000	191,24	1242,35	8,4989	0,0000	24,72	-4,879	0,62	0,000
194,46	32,187	10,000	190,97	1240,56	8,5136	0,0000	24,72	-4,879	0,62	0,000
195,59	32,372	10,000	190,69	1238,76	8,5253	0,0000	24,72	-4,879	0,62	0,000
196,72	32,570	10,000	190,39	1236,83	8,5348	0,0000	24,72	-4,879	0,62	0,000
197,84	32,755	10,000	190,12	1235,03	8,5471	0,0000	24,72	-4,879	0,62	0,000
198,96	32,938	10,000	189,84	1233,24	8,5612	0,0000	24,72	-4,879	0,62	0,000
200,08	33,122	10,000	189,57	1231,46	8,5743	0,0000	24,72	-4,879	0,62	0,000
201,21	33,304	10,000	189,29	1229,68	8,5830	0,0000	24,72	-4,879	0,62	0,000
202,34	33,488	10,000	189,02	1227,88	8,5919	0,0000	24,72	-4,879	0,62	0,000
203,47	33,687	10,000	188,72	1225,95	8,5987	0,0000	24,72	-4,879	0,62	0,000
204,60	33,870	10,000	188,44	1224,16	8,6154	0,0000	24,72	-4,879	0,62	0,000
205,73	34,054	10,000	188,17	1222,37	8,6247	0,0000	24,72	-4,879	0,62	0,000
206,86	34,238	10,000	187,89	1220,58	8,6305	0,0000	24,72	-4,879	0,62	0,000
207,98	34,438	10,000	187,59	1218,63	8,6389	0,0000	24,72	-4,879	0,62	0,000
209,11	34,620	10,000	187,32	1216,85	8,6499	0,0000	24,72	-4,879	0,62	0,000
210,23	34,805	10,000	187,04	1215,05	8,6546	0,0000	24,72	-4,879	0,62	0,000
211,36	34,987	10,000	186,77	1213,28	8,6678	0,0000	24,72	-4,879	0,62	0,000
212,48	35,172	10,000	186,49	1211,48	8,6758	0,0000	24,72	-4,879	0,62	0,000
213,61	35,370	10,000	186,19	1209,55	8,6801	0,0000	24,72	-4,879	0,62	0,000
214,73	35,554	10,000	185,92	1207,76	8,6898	0,0000	24,72	-4,879	0,62	0,000
215,85	35,737	10,000	185,64	1205,97	8,7104	0,0000	24,72	-4,879	0,62	0,000
216,97	35,922	10,000	185,37	1204,17	8,7242	0,0000	24,71	-4,879	0,62	0,000
218,09	36,105	10,000	185,09	1202,39	8,7417	0,0000	24,71	-4,879	0,62	0,000
219,22	36,287	10,000	184,82	1200,61	8,7533	0,0000	24,71	-4,879	0,62	0,000
220,35	36,488	10,000	184,52	1198,65	8,7677	0,0000	24,71	-4,879	0,62	0,000
221,47	36,672	10,000	184,24	1196,87	8,7807	0,0000	24,71	-4,879	0,62	0,000
222,60	36,855	10,000	183,97	1195,08	8,7874	0,0000	24,71	-4,879	0,62	0,000
223,72	37,038	10,000	183,69	1193,29	8,8045	0,0000	24,71	-4,879	0,62	0,000
224,85	37,220	10,000	183,42	1191,52	8,8188	0,0000	24,71	-4,879	0,62	0,000
225,97	37,420	10,000	183,12	1189,57	8,8272	0,0000	24,71	-4,879	0,62	0,000
226,97	37,588	10,000	182,87	1187,93	8,8337	0,0000	24,71	-4,879	0,62	0,000
228,08	37,770	10,000	182,59	1186,16	8,8428	0,0000	24,71	-4,879	0,62	0,000
229,22	37,955	10,000	182,32	1184,36	8,8511	0,0000	24,71	-4,879	0,62	0,000
230,33	38,137	10,000	182,04	1182,59	8,8548	0,0000	24,71	-4,879	0,62	0,000
231,46	38,322	10,000	181,77	1180,79	8,8633	0,0000	24,71	-4,879	0,62	0,000
232,58	38,505	10,000	181,49	1179,00	8,8777	0,0000	24,71	-4,879	0,62	0,000
233,70	38,704	10,000	181,19	1177,07	8,8911	0,0000	24,71	-4,879	0,62	0,000
234,83	38,888	10,000	180,92	1175,27	8,9002	0,0000	24,71	-4,879	0,62	0,000
235,95	39,072	10,000	180,64	1173,48	8,9066	0,0000	24,71	-4,879	0,62	0,000
237,08	39,254	10,000	180,37	1171,71	8,9143	0,0000	24,71	-4,879	0,62	0,000
238,21	39,437	10,000	180,09	1169,92	8,9235	0,0000	24,71	-4,879	0,62	0,000
239,34	39,638	10,000	179,79	1167,96	8,9350	0,0000	24,71	-4,879	0,62	0,000
240,46	39,821	10,000	179,52	1166,17	8,9469	0,0000	24,71	-4,879	0,62	0,000
241,58	40,005	10,000	179,24	1164,39	8,9559	0,0000	24,71	-4,879	0,62	0,000
242,71	40,188	10,000	178,97	1162,60	8,9643	0,0000	24,71	-4,879	0,62	0,000
243,82	40,371	10,000	178,69	1160,81	8,9833	0,0000	24,71	-4,879	0,62	0,000
244,96	40,571	10,000	178,39	1158,86	8,9950	0,0000	24,71	-4,879	0,62	0,000
246,08	40,755	10,000	178,12	1157,08	9,0040	0,0000	24,71	-4,879	0,62	0,000
247,22	40,937	10,000	177,84	1155,30	9,0085	0,0000	24,71	-4,879	0,62	0,000
248,34	41,120	10,000	177,57	1153,52	9,0184	0,0000	24,71	-4,879	0,62	0,000
249,47	41,305	10,000	177,29	1151,72	9,0291	0,0000	24,71	-4,879	0,62	0,000
250,60	41,505	10,000	176,99	1149,77	9,0361	0,0000	24,71	-4,879	0,62	0,000
251,73	41,688	10,000	176,72	1147,98	9,0487	0,0000	24,71	-4,879	0,62	0,000
252,85	41,870	10,000	176,44	1146,21	9,0620	0,0000	24,71	-4,879	0,62	0,000
253,98	42,055	10,000	176,17	1144,41	9,0708	0,0000	24,71	-4,879	0,62	0,000
255,10	42,255	10,000	175,87	1142,46	9,0804	0,0000	24,71	-4,879	0,62	0,000
256,23	42,438	10,000	175,59	1140,68	9,0882	0,0000	24,71	-4,879	0,62	0,000
257,36	42,620	10,000	175,32	1138,90	9,1061	0,0000	24,71	-4,879	0,62	0,000
258,48	42,805	10,000	175,04	1137,10	9,1138	0,0000	24,71	-4,879	0,62	0,000
259,60	42,987	10,000	174,77	1135,33	9,1250	0,0000	24,71	-4,879	0,62	0,000
260,72	43,170	10,000	174,49	1133,54	9,1341	0,0000	24,71	-4,879	0,62	0,000
261,85	43,371	10,000	174,19	1131,58	9,1317	0,0000	24,71	-4,879	0,62	0,000
262,97	43,555	10,000	173,92	1129,80	9,1556	0,0000	24,71	-4,879	0,62	0,000
264,10	43,738	10,000	173,64	1128,01	9,1495	0,0000	24,71	-4,879	0,62	0,000
265,22	43,920	10,000	173,37	1126,24	9,1725	0,0000	24,71	-4,879	0,62	0,000
266,33	44,103	10,000	173,09	1124,45	9,1785	0,0000	24,71	-4,879	0,62	0,000
267,45	44,288	10,000	172,82	1122,65	9,1917	0,0000	24,71	-4,879	0,62	0,000
268,45	44,453	10,000	172,57	1121,04	9,2000	0,0000	24,71	-4,879	0,62	0,000
269,58	44,655	10,000	172,27	1119,08	9,2118	0,0000	24,71	-4,879	0,62	0,000
270,70	44,837	10,000	171,99	1117,30	9,2230	0,0000	24,71	-4,879	0,62	0,000
271,83	45,020	10,000	171,72	1115,52	9,2292	0,0000	24,71	-4,879	0,62	0,000
272,94	45,205	10,000	171,44	1113,72	9,2459	0,0000	24,71	-4,879	0,62	0,000
273,94	45,370	10,000	171,20	1112,11	9,2561	0,0000	24,71	-4,879	0,62	0,000
275,07	45,555	10,000	170,92	1110,31	9,2654	0,0000	24,71	-4,879	0,62	0,000
276,20	45,738	10,000	170,64	1108,52	9,2768	0,0000	24,71	-4,879	0,62	0,000
277,32	45,938	10,000	170,34	1106,57	9,2828	0,0000	24,71	-4,879	0,62	0,000
278,44	46,121	10,000	170,07	1104,79	9,2928	0,0000	24,71	-4,879	0,62	0,000
279,58	46,305	10,000	169,79	1103,00	9,3027	0,0000	24,71	-4,879	0,62	0,000
280,70	46,488	10,000	169,52	1101,21	9,3119	0,0000	24,71	-4,879	0,62	0,000
281,83	46,671	10,000	169,24	1099,43	9,3152	0,0000	24,71	-4,879	0,62	0,000
282,96	46,871	10,000	168,94	1097,48	9,3213	0,0000	24,71	-4,879	0,62	0,000
284,07	47,055	10,000	168,67	1095,69	9,3277	0,0000	24,71	-4,879	0,62	0,000
285,20	47,237	10,000	168,40	1093,92	9,3384	0,0000	24,71	-4,879	0,62	0,000
286,32	47,421	10,000	168,12	1092,12	9,3551	0,0000	24,71	-4,879	0,62	0,000
287,45	47,605	10,000	167,84	1090,33	9,3658	0,0000	24,71	-4,879	0,62	0,000
288,58	47,803	10,000	167,55	1088,40	9,3811	0,0000	24,71	-4,879	0,62	0,000
289,70	47,987	10,000	167,27	1086,61	9,3889	0,0000	24,71	-4,879	0,62	0,000
290,83	48,170	10,000	167,00	1084,82	9,3969	0,0000	24,71	-4,879	0,62	0,000
291,95	48,353	10,000	166,72	1083,04	9,4106	0,0000	24,71	-4,879	0,62	0,000
293,06	48,538	10,000	166,44	1081,24	9,4195	0,0000	24,71	-4,879	0,62	0,000
294,20	48,738	10,000	166,14	1079,29	9,4319	0,0000	24,71	-4,879	0,62	0,000
